source,target,site,hyperlink
www.juwi.com,de-de.facebook.com,https://de-de.facebook.com/juwiGruppe/,"
											
												"
www.juwi.com,www.instagram.com,https://www.instagram.com/juwi_group/,"
											
												"
www.juwi.com,www.youtube.com,https://www.youtube.com/@JUWI_group,"
											
												"
www.edpr.com,portugal.edp.com,https://portugal.edp.com/en,EDP Institucional 
www.edpr.com,espana.edp.com,https://espana.edp.com/en,EDP Institucional 
www.edpr.com,brasil.edp.com,https://brasil.edp.com/en,EDP Institucional
www.edpr.com,portugal.edp.com,https://portugal.edp.com/,portugal.edp.com
www.edpr.com,espana.edp.com,https://espana.edp.com/en,espana.edp.com
www.edpr.com,brasil.edp.com,https://brasil.edp.com,brasil.edp.com
,,,
www.edpr.com,www.edp.com,https://www.edp.com/en/edp/strategy, 
www.sasol.com,www.sasolinsport.co.za,https://www.sasolinsport.co.za/,Sasol In Sport
www.sasol.com,www.sasolsignatures.co.za,https://www.sasolsignatures.co.za/,Sasol Signatures
www.sasol.com,www.solarchallenge.org.za,https://www.solarchallenge.org.za/,Sasol Solar Challenge
www.sasol.com,www.sasolrewards.co.za,https://www.sasolrewards.co.za/,Sasol Rewards
www.sasol.com,www.sasolbursaries.com,https://www.sasolbursaries.com/welcome/,Sasol Bursaries
www.sasol.com,www.sasolkhanyisa.com,https://www.sasolkhanyisa.com/,Sasol Khanyisa
www.sasol.com,www.sasolbursaries.com,https://www.sasolbursaries.com/welcome/,Read more
www.sasol.com,myim.service-now.com,https://myim.service-now.com/csm,Access portal
www.sasol.com,twitter.com,https://twitter.com/SasolSA?ref_src=twsrc%5Etfw,Tweets by SasolSA
www.sasol.com,www.sasolbursaries.com,https://www.sasolbursaries.com/welcome/,Bursaries
www.sasol.com,www.youtube.com,https://www.youtube.com/c/sasol,View More
,,,
www.h1holdings.co.za,roggeveldwindfarm.energy,https://roggeveldwindfarm.energy/,Roggeveld Wind Power 148MW
www.h1holdings.co.za,kangnaswind.co.za,https://kangnaswind.co.za/,Kangnas Wind 138MW
www.h1holdings.co.za,perdekraaleastwind.co.za,https://perdekraaleastwind.co.za/,Perdekraal East Wind 108MW
www.h1holdings.co.za,www.enelgreenpower.com,https://www.enelgreenpower.com/media/press/2021/12/garob-wind-farm-ready-commercial-operation,Garob Wind 140MW
www.h1holdings.co.za,www.enelgreenpower.com,https://www.enelgreenpower.com/our-projects/operating/nxuba-wind-farm,Nxuba Wind 140MW
www.h1holdings.co.za,www.enelgreenpower.com,https://www.enelgreenpower.com/our-projects/operating/oyster-bay-wind-farm,Oyster Bay Wind 140MW
www.h1holdings.co.za,scatecsolar.com,https://scatecsolar.com/2018/04/10/scatec-solar-reaches-financial-close-for-258-mw-in-south-africa/,Dyasons Klip 1 Solar 75MW
www.h1holdings.co.za,scatecsolar.com,https://scatecsolar.com/2018/04/10/scatec-solar-reaches-financial-close-for-258-mw-in-south-africa/,Dyasons Klip 2 Solar 75MW
www.h1holdings.co.za,sproutperformance.com,https://sproutperformance.com/,Sprout Performance Partners
www.h1holdings.co.za,www.google.co.za,"https://www.google.co.za/maps/place/H1+Holdings+(Pty)+Ltd/@-33.905523,18.4160183,17z/data=!3m1!4b1!4m5!3m4!1s0x1dcc675cfbcd51a9:0xb374aee2472060d7!8m2!3d-33.905523!4d18.418207",Google Map
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=KQHJs1y9kxM?rel=0&autoplay=1,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=KQHJs1y9kxM,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=yhl7XQdUbac,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=1mUsvfKnbuo,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=1o9AvpDSVHM&feature=youtu.be,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=4TqGPu9mMIE&feature=youtu.be,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=7jwUqeIQAAA,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=p15QsWkcQFk,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=fFOSgLtiHkw&feature=youtu.be,"
"
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=KQHJs1y9kxM&autohide=1,https://www.youtube.com/watch?v=KQHJs1y9kxM&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=yhl7XQdUbac&autohide=1,https://www.youtube.com/watch?v=yhl7XQdUbac&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=1mUsvfKnbuo&autohide=1,https://www.youtube.com/watch?v=1mUsvfKnbuo&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=1o9AvpDSVHM&autohide=1,https://www.youtube.com/watch?v=1o9AvpDSVHM&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=4TqGPu9mMIE&autohide=1,https://www.youtube.com/watch?v=4TqGPu9mMIE&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=7jwUqeIQAAA&autohide=1,https://www.youtube.com/watch?v=7jwUqeIQAAA&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=p15QsWkcQFk&autohide=1,https://www.youtube.com/watch?v=p15QsWkcQFk&autohide=1
sr.energy,www.youtube.com,https://www.youtube.com/watch?v=fFOSgLtiHkw&autohide=1,https://www.youtube.com/watch?v=fFOSgLtiHkw&autohide=1
sr.energy,www.supronet.co.za,https://www.supronet.co.za/,SuproNet
,,,
www.pelegreenenergy.com,www.esi-africa.com,https://www.esi-africa.com/wind-power-pele-green-energy-wins-280mw-in-reipppp-round-four/,Wind power: Pele Green Energy wins 280MW in REIPPP round four
